Date,Site_ID,Grade_Description,Competitor_Price
2019-01-01,10808,Diesel,2.6740000000000004
2019-01-01,10808,Premium Gas,1.799
2019-01-01,10808,Unleaded Gas,1.8256666666666668
2019-01-01,10818,Diesel,2.752333333333333
2019-01-01,10818,Midgrade Gas,2.449
2019-01-01,10818,Premium Gas,2.7489999999999997
2019-01-01,10818,Unleaded Gas,2.091
2019-01-01,10838,Diesel,2.629
2019-01-01,10838,Midgrade Gas,2.184
2019-01-01,10838,Premium Gas,2.4964999999999997
2019-01-01,10838,Unleaded Gas,1.7839999999999998
2019-01-02,10808,Diesel,2.6740000000000004
2019-01-02,10808,Premium Gas,1.799
2019-01-02,10808,Unleaded Gas,1.819
2019-01-02,10818,Diesel,2.709
2019-01-02,10818,Midgrade Gas,2.3656666666666664
2019-01-02,10818,Premium Gas,2.7489999999999997
2019-01-02,10818,Unleaded Gas,2.0789999999999997
2019-01-02,10838,Diesel,2.619
2019-01-02,10838,Midgrade Gas,2.1814999999999998
2019-01-02,10838,Premium Gas,2.4915
2019-01-02,10838,Unleaded Gas,1.779
2019-01-03,10808,Diesel,2.6740000000000004
2019-01-03,10808,Premium Gas,1.799
2019-01-03,10808,Unleaded Gas,1.819
2019-01-03,10818,Diesel,2.709
2019-01-03,10818,Midgrade Gas,2.3656666666666664
2019-01-03,10818,Premium Gas,2.7489999999999997
2019-01-03,10818,Unleaded Gas,2.071
2019-01-03,10838,Diesel,2.6090000000000004
2019-01-03,10838,Midgrade Gas,2.1790000000000003
2019-01-03,10838,Premium Gas,2.489
2019-01-03,10838,Unleaded Gas,1.7614999999999998
2019-01-04,10808,Diesel,2.6740000000000004
2019-01-04,10808,Premium Gas,1.799
2019-01-04,10808,Unleaded Gas,1.819
2019-01-04,10818,Diesel,2.709
2019-01-04,10818,Midgrade Gas,2.3489999999999998
2019-01-04,10818,Premium Gas,2.7915
2019-01-04,10818,Unleaded Gas,2.0509999999999997
2019-01-04,10838,Diesel,2.6090000000000004
2019-01-04,10838,Midgrade Gas,2.1765
2019-01-04,10838,Premium Gas,2.4865
2019-01-04,10838,Unleaded Gas,1.759
2019-01-05,10808,Diesel,2.6740000000000004
2019-01-05,10808,Premium Gas,1.799
2019-01-05,10808,Unleaded Gas,1.819
2019-01-05,10818,Diesel,2.709
2019-01-05,10818,Midgrade Gas,2.3489999999999998
2019-01-05,10818,Premium Gas,2.7915
2019-01-05,10818,Unleaded Gas,2.0509999999999997
2019-01-05,10838,Diesel,2.6090000000000004
2019-01-05,10838,Midgrade Gas,2.1765
2019-01-05,10838,Premium Gas,2.4865
2019-01-05,10838,Unleaded Gas,1.759
2019-01-06,10808,Diesel,2.6740000000000004
2019-01-06,10808,Unleaded Gas,1.819
2019-01-06,10818,Diesel,2.709
2019-01-06,10818,Midgrade Gas,2.3489999999999998
2019-01-06,10818,Premium Gas,2.7915
2019-01-06,10818,Unleaded Gas,2.0509999999999997
2019-01-06,10838,Diesel,2.6090000000000004
2019-01-06,10838,Midgrade Gas,2.1765
2019-01-06,10838,Premium Gas,2.4865
2019-01-06,10838,Unleaded Gas,1.759
2019-01-07,10808,Diesel,2.654
2019-01-07,10808,Unleaded Gas,1.8056666666666665
2019-01-07,10818,Diesel,2.709
2019-01-07,10818,Midgrade Gas,2.3489999999999998
2019-01-07,10818,Premium Gas,2.7915
2019-01-07,10818,Unleaded Gas,2.0469999999999997
2019-01-07,10838,Diesel,2.6090000000000004
2019-01-07,10838,Midgrade Gas,2.1765
2019-01-07,10838,Premium Gas,2.4865
2019-01-07,10838,Unleaded Gas,1.8039999999999998
2019-01-08,10808,Diesel,2.654
2019-01-08,10808,Unleaded Gas,1.8056666666666665
2019-01-08,10818,Diesel,2.709
2019-01-08,10818,Midgrade Gas,2.3489999999999998
2019-01-08,10818,Premium Gas,2.7915
2019-01-08,10818,Unleaded Gas,2.0469999999999997
2019-01-08,10838,Diesel,2.539
2019-01-08,10838,Midgrade Gas,2.2664999999999997
2019-01-08,10838,Premium Gas,2.5765
2019-01-08,10838,Unleaded Gas,1.899
2019-01-09,10808,Diesel,2.654
2019-01-09,10808,Midgrade Gas,2.019
2019-01-09,10808,Premium Gas,2.139
2019-01-09,10808,Unleaded Gas,1.8056666666666665
2019-01-09,10818,Diesel,2.709
2019-01-09,10818,Midgrade Gas,2.299
2019-01-09,10818,Premium Gas,2.7556666666666665
2019-01-09,10818,Unleaded Gas,2.027
2019-01-09,10838,Diesel,2.539
2019-01-09,10838,Midgrade Gas,2.2215
2019-01-09,10838,Premium Gas,2.5315
2019-01-09,10838,Unleaded Gas,1.8965
2019-01-10,10808,Diesel,2.654
2019-01-10,10808,Midgrade Gas,2.019
2019-01-10,10808,Premium Gas,2.139
2019-01-10,10808,Unleaded Gas,1.8323333333333334
2019-01-10,10818,Diesel,2.709
2019-01-10,10818,Midgrade Gas,2.3115
2019-01-10,10818,Premium Gas,2.7556666666666665
2019-01-10,10818,Unleaded Gas,1.9969999999999999
2019-01-10,10838,Diesel,2.539
2019-01-10,10838,Midgrade Gas,2.2615
2019-01-10,10838,Premium Gas,2.5715
2019-01-10,10838,Unleaded Gas,1.894
2019-01-11,10808,Diesel,2.654
2019-01-11,10808,Midgrade Gas,2.019
2019-01-11,10808,Premium Gas,2.139
2019-01-11,10808,Unleaded Gas,1.8323333333333334
2019-01-11,10818,Diesel,2.709
2019-01-11,10818,Midgrade Gas,2.349
2019-01-11,10818,Premium Gas,2.7656666666666663
2019-01-11,10818,Unleaded Gas,1.9969999999999999
2019-01-11,10838,Diesel,2.529
2019-01-11,10838,Midgrade Gas,2.2515
2019-01-11,10838,Premium Gas,2.5615
2019-01-11,10838,Unleaded Gas,1.879
2019-01-12,10808,Diesel,2.574
2019-01-12,10808,Midgrade Gas,2.019
2019-01-12,10808,Premium Gas,2.139
2019-01-12,10808,Unleaded Gas,1.8323333333333334
2019-01-12,10818,Diesel,2.709
2019-01-12,10818,Midgrade Gas,2.349
2019-01-12,10818,Premium Gas,2.7656666666666663
2019-01-12,10818,Unleaded Gas,1.9969999999999999
2019-01-12,10838,Diesel,2.529
2019-01-12,10838,Midgrade Gas,2.239
2019-01-12,10838,Premium Gas,2.549
2019-01-12,10838,Unleaded Gas,1.8639999999999999
2019-01-13,10808,Diesel,2.574
2019-01-13,10808,Midgrade Gas,2.019
2019-01-13,10808,Premium Gas,2.139
2019-01-13,10808,Unleaded Gas,1.8323333333333334
2019-01-13,10818,Diesel,2.709
2019-01-13,10818,Midgrade Gas,2.374
2019-01-13,10818,Premium Gas,2.7489999999999997
2019-01-13,10818,Unleaded Gas,1.9969999999999999
2019-01-13,10838,Diesel,2.529
2019-01-13,10838,Midgrade Gas,2.239
2019-01-13,10838,Premium Gas,2.549
2019-01-13,10838,Unleaded Gas,1.8639999999999999
2019-01-14,10808,Diesel,2.574
2019-01-14,10808,Midgrade Gas,1.9540000000000002
2019-01-14,10808,Premium Gas,2.139
2019-01-14,10808,Unleaded Gas,1.9323333333333332
2019-01-14,10818,Diesel,2.709
2019-01-14,10818,Midgrade Gas,2.374
2019-01-14,10818,Premium Gas,2.7489999999999997
2019-01-14,10818,Unleaded Gas,2.0010000000000003
2019-01-14,10838,Diesel,2.539
2019-01-14,10838,Midgrade Gas,2.229
2019-01-14,10838,Premium Gas,2.5389999999999997
2019-01-14,10838,Unleaded Gas,1.8539999999999999
2019-01-15,10808,Diesel,2.574
2019-01-15,10808,Midgrade Gas,1.889
2019-01-15,10808,Unleaded Gas,1.9989999999999999
2019-01-15,10818,Diesel,2.709
2019-01-15,10818,Midgrade Gas,2.399
2019-01-15,10818,Premium Gas,2.719
2019-01-15,10818,Unleaded Gas,2.0010000000000003
2019-01-15,10838,Diesel,2.5356666666666667
2019-01-15,10838,Midgrade Gas,2.229
2019-01-15,10838,Premium Gas,2.5389999999999997
2019-01-15,10838,Unleaded Gas,1.8439999999999999
2019-01-16,10808,Diesel,2.574
2019-01-16,10808,Midgrade Gas,1.889
2019-01-16,10808,Premium Gas,1.899
2019-01-16,10808,Unleaded Gas,1.8656666666666666
2019-01-16,10818,Diesel,2.752333333333333
2019-01-16,10818,Midgrade Gas,2.299
2019-01-16,10818,Premium Gas,2.519
2019-01-16,10818,Unleaded Gas,1.9970000000000003
2019-01-16,10838,Diesel,2.5556666666666668
2019-01-16,10838,Midgrade Gas,2.2215
2019-01-16,10838,Premium Gas,2.5315
2019-01-16,10838,Unleaded Gas,1.8364999999999998
2019-01-17,10808,Diesel,2.574
2019-01-17,10808,Midgrade Gas,1.889
2019-01-17,10808,Premium Gas,1.899
2019-01-17,10808,Unleaded Gas,1.8723333333333334
2019-01-17,10818,Diesel,2.752333333333333
2019-01-17,10818,Midgrade Gas,2.295666666666667
2019-01-17,10818,Premium Gas,2.5789999999999997
2019-01-17,10818,Unleaded Gas,1.9970000000000003
2019-01-17,10838,Diesel,2.5356666666666667
2019-01-17,10838,Midgrade Gas,2.2215
2019-01-17,10838,Premium Gas,2.5315
2019-01-17,10838,Unleaded Gas,1.829
2019-01-18,10808,Diesel,2.5540000000000003
2019-01-18,10808,Midgrade Gas,1.889
2019-01-18,10808,Premium Gas,1.899
2019-01-18,10808,Unleaded Gas,1.8723333333333334
2019-01-18,10818,Diesel,2.752333333333333
2019-01-18,10818,Midgrade Gas,2.295666666666667
2019-01-18,10818,Premium Gas,2.5789999999999997
2019-01-18,10818,Unleaded Gas,1.9970000000000003
2019-01-18,10838,Diesel,2.5356666666666667
2019-01-18,10838,Midgrade Gas,2.2165
2019-01-18,10838,Premium Gas,2.5265
2019-01-18,10838,Unleaded Gas,1.8239999999999998
2019-01-19,10808,Diesel,2.5540000000000003
2019-01-19,10808,Premium Gas,1.859
2019-01-19,10808,Unleaded Gas,1.8723333333333334
2019-01-19,10818,Diesel,2.752333333333333
2019-01-19,10818,Midgrade Gas,2.295666666666667
2019-01-19,10818,Premium Gas,2.5456666666666665
2019-01-19,10818,Unleaded Gas,2.003
