Site_ID,Grade_Description,Date,Price,Profit,Volume,Competitor_Price,Fuel_Cost,Unleaded Gas Cost,Diesel Cost,Midgrade Gas Cost,Premium Gas Cost
10808,Premium Gas,1/1/2019,2.319,7.6,49.3,1.799,1.534256839,1.3237,1.176108702,1.409889251,1.534256839
10808,Unleaded Gas,1/1/2019,1.769,9.73,1092.01,1.825666667,1.3237,1.3237,1.176108702,1.409889251,1.534256839
10838,Midgrade Gas,1/1/2019,2.039,18.81,105.78,2.184,1.409889251,1.3237,1.176108702,1.409889251,1.534256839
10838,Premium Gas,1/1/2019,2.339,25.11,76.57,2.4965,1.534256839,1.3237,1.176108702,1.409889251,1.534256839
10838,Unleaded Gas,1/1/2019,1.739,-18.27,255.6,1.784,1.3237,1.3237,1.176108702,1.409889251,1.534256839
10808,Premium Gas,1/2/2019,2.309,14.78,83.84,1.799,1.535803129,1.3256,1.201517227,1.434353061,1.535803129
10808,Unleaded Gas,1/2/2019,1.759,11.13,1955.47,1.819,1.3256,1.3256,1.201517227,1.434353061,1.535803129
10838,Midgrade Gas,1/2/2019,2.039,18.39,103.41,2.1815,1.434353061,1.3256,1.201517227,1.434353061,1.535803129
10838,Premium Gas,1/2/2019,2.339,22.36,68.19,2.4915,1.535803129,1.3256,1.201517227,1.434353061,1.535803129
10838,Unleaded Gas,1/2/2019,1.739,-33.6,409.14,1.779,1.3256,1.3256,1.201517227,1.434353061,1.535803129
10808,Premium Gas,1/3/2019,2.299,7.15,56.94,1.799,1.553483876,1.3495,1.22523857,1.454955269,1.553483876
10808,Unleaded Gas,1/3/2019,1.749,-35.83,1123.79,1.819,1.3495,1.3495,1.22523857,1.454955269,1.553483876
10818,Midgrade Gas,1/3/2019,2.599,0,0,2.365666667,1.454955269,1.3495,1.22523857,1.454955269,1.553483876
10838,Midgrade Gas,1/3/2019,2.039,14.28,79.2,2.179,1.454955269,1.3495,1.22523857,1.454955269,1.553483876
10838,Premium Gas,1/3/2019,2.339,32.81,90.45,2.489,1.553483876,1.3495,1.22523857,1.454955269,1.553483876
10838,Unleaded Gas,1/3/2019,1.739,-57.39,601.93,1.7615,1.3495,1.3495,1.22523857,1.454955269,1.553483876
10808,Premium Gas,1/4/2019,2.299,8.08,49.08,1.799,1.552686536,1.3478,1.170961891,1.453068571,1.552686536
10808,Unleaded Gas,1/4/2019,1.749,-65.66,1847.51,1.819,1.3478,1.3478,1.170961891,1.453068571,1.552686536
10838,Midgrade Gas,1/4/2019,2.039,7.27,40.26,2.1765,1.453068571,1.3478,1.170961891,1.453068571,1.552686536
10838,Premium Gas,1/4/2019,2.339,78.73,217.06,2.4865,1.552686536,1.3478,1.170961891,1.453068571,1.552686536
10838,Unleaded Gas,1/4/2019,1.739,-56.6,626.66,1.759,1.3478,1.3478,1.170961891,1.453068571,1.552686536
10808,Premium Gas,1/5/2019,2.299,12.28,74.67,1.799,1.55120155,1.3478,1.21244347,1.462782963,1.55120155
10808,Unleaded Gas,1/5/2019,1.749,-98.64,1442.89,1.819,1.3478,1.3478,1.21244347,1.462782963,1.55120155
10838,Midgrade Gas,1/5/2019,2.039,4.34,24.09,2.1765,1.462782963,1.3478,1.21244347,1.462782963,1.55120155
10838,Premium Gas,1/5/2019,2.339,37.45,103.28,2.4865,1.55120155,1.3478,1.21244347,1.462782963,1.55120155
10838,Unleaded Gas,1/5/2019,1.739,-52.59,572.17,1.759,1.3478,1.3478,1.21244347,1.462782963,1.55120155
10808,Unleaded Gas,1/6/2019,1.749,-60.06,1096.7,1.819,1.3478,1.3478,1.226479116,1.425495949,1.564167253
10838,Midgrade Gas,1/6/2019,2.039,3.7,20.52,2.1765,1.425495949,1.3478,1.226479116,1.425495949,1.564167253
10838,Premium Gas,1/6/2019,2.339,21.94,60.51,2.4865,1.564167253,1.3478,1.226479116,1.425495949,1.564167253
10838,Unleaded Gas,1/6/2019,1.739,-39.22,454.82,1.759,1.3478,1.3478,1.226479116,1.425495949,1.564167253
10808,Unleaded Gas,1/7/2019,1.739,-128.22,1803.8,1.805666667,1.3408,1.3408,1.161004057,1.43541833,1.535297452
10838,Midgrade Gas,1/7/2019,2.199,5.75,19.67,2.1765,1.43541833,1.3408,1.161004057,1.43541833,1.535297452
10838,Premium Gas,1/7/2019,2.499,27.53,75.93,2.4865,1.535297452,1.3408,1.161004057,1.43541833,1.535297452
10838,Unleaded Gas,1/7/2019,1.899,-16.59,694.85,1.804,1.3408,1.3408,1.161004057,1.43541833,1.535297452
10808,Unleaded Gas,1/8/2019,1.739,-110.68,1535.5,1.805666667,1.3626,1.3626,1.239848587,1.484676112,1.537695423
10838,Midgrade Gas,1/8/2019,2.199,21.96,64.55,2.2665,1.484676112,1.3626,1.239848587,1.484676112,1.537695423
10838,Premium Gas,1/8/2019,2.499,42.69,81.64,2.5765,1.537695423,1.3626,1.239848587,1.484676112,1.537695423
10838,Unleaded Gas,1/8/2019,1.899,48.9,669.99,1.899,1.3626,1.3626,1.239848587,1.484676112,1.537695423
10808,Midgrade Gas,1/9/2019,2.099,8.54,48.93,2.019,1.50478396,1.4254,1.267901318,1.50478396,1.615068803
10808,Premium Gas,1/9/2019,2.289,8.54,55.21,2.139,1.615068803,1.4254,1.267901318,1.50478396,1.615068803
10808,Unleaded Gas,1/9/2019,1.739,-82.28,1716.01,1.805666667,1.4254,1.4254,1.267901318,1.50478396,1.615068803
10838,Midgrade Gas,1/9/2019,2.219,20.44,56.73,2.2215,1.50478396,1.4254,1.267901318,1.50478396,1.615068803
10838,Premium Gas,1/9/2019,2.519,61.87,115.49,2.5315,1.615068803,1.4254,1.267901318,1.50478396,1.615068803
10838,Unleaded Gas,1/9/2019,1.919,55.51,589.96,1.8965,1.4254,1.4254,1.267901318,1.50478396,1.615068803
10808,Midgrade Gas,1/10/2019,2.099,16.89,55.52,2.019,1.508636757,1.4307,1.301075912,1.508636757,1.611578631
10808,Premium Gas,1/10/2019,2.289,18.61,120.28,2.139,1.611578631,1.4307,1.301075912,1.508636757,1.611578631
10808,Unleaded Gas,1/10/2019,1.739,-111.31,1886.86,1.832333333,1.4307,1.4307,1.301075912,1.508636757,1.611578631
10818,Midgrade Gas,1/10/2019,2.599,0,0,2.3115,1.508636757,1.4307,1.301075912,1.508636757,1.611578631
10818,Premium Gas,1/10/2019,2.849,0,0,2.755666667,1.611578631,1.4307,1.301075912,1.508636757,1.611578631
10838,Midgrade Gas,1/10/2019,2.189,19.64,59.43,2.2615,1.508636757,1.4307,1.301075912,1.508636757,1.611578631
10838,Premium Gas,1/10/2019,2.489,90.69,173.58,2.5715,1.611578631,1.4307,1.301075912,1.508636757,1.611578631
10838,Unleaded Gas,1/10/2019,1.889,47.76,623.65,1.894,1.4307,1.4307,1.301075912,1.508636757,1.611578631
10808,Midgrade Gas,1/11/2019,2.099,13.84,75.45,2.019,1.478013809,1.4007,1.265841313,1.478013809,1.57148741
10808,Premium Gas,1/11/2019,2.289,18.18,90.96,2.139,1.57148741,1.4007,1.265841313,1.478013809,1.57148741
10808,Unleaded Gas,1/11/2019,1.739,-138.16,2098.78,1.832333333,1.4007,1.4007,1.265841313,1.478013809,1.57148741
10838,Midgrade Gas,1/11/2019,2.189,15.95,48.25,2.2515,1.478013809,1.4007,1.265841313,1.478013809,1.57148741
10838,Premium Gas,1/11/2019,2.489,56.01,109.24,2.5615,1.57148741,1.4007,1.265841313,1.478013809,1.57148741
10838,Unleaded Gas,1/11/2019,1.889,39.69,619.72,1.879,1.4007,1.4007,1.265841313,1.478013809,1.57148741
10808,Midgrade Gas,1/12/2019,2.099,15.1,97.06,2.019,1.474838728,1.4007,1.259654547,1.474838728,1.608657553
10808,Premium Gas,1/12/2019,2.289,34.23,171.31,2.139,1.608657553,1.4007,1.259654547,1.474838728,1.608657553
10808,Unleaded Gas,1/12/2019,1.739,-96.56,1476.01,1.832333333,1.4007,1.4007,1.259654547,1.474838728,1.608657553
