LocationID,ShipToNumber,StoreBrand,FuelBrand,ShipToCity,ShipToState,ShipToCountry,Latitude,Longitude
1,12137612,Sunoco,Sunoco,HANOVER,MA,US,42.153127,-70.84628
2,12149112,Sunoco,Sunoco,BLUE BELL,PA,US,40.167265,-75.289933
3,12171509,Sunoco,Sunoco,DUNN LORING,VA,US,38.900922,-77.224057
4,12232507,Sunoco,Sunoco,POTTSTOWN,PA,US,40.230498,-75.628821
5,12233309,Sunoco,Sunoco,NEW CASTLE,DE,US,39.66301,-75.63777
6,12247313,Sunoco,Sunoco,NORTH HAVEN,CT,US,41.349558,-72.869099
7,12259805,Sunoco,Sunoco,HANSON,MA,US,42.06589,-70.86717
8,12269707,Sunoco,Sunoco,MOUNT LAUREL,NJ,US,39.941315,-74.938341
9,12304212,Sunoco,Sunoco,MATAWAN,NJ,US,40.42382,-74.26986
10,12328106,Sunoco,Sunoco,FEASTERVILLE,PA,US,40.154311,-75.009153
11,12335606,Sunoco,Sunoco,OAKHURST,NJ,US,40.267388,-74.041927
12,12346317,Sunoco,Sunoco,ABINGTON,MA,US,42.110168,-70.932198
13,12355407,Sunoco,Sunoco,WEST CONSHOHOCKEN,PA,US,40.068124,-75.309374
14,12361206,Sunoco,Sunoco,PEABODY,MA,US,42.517553,-70.943713
15,12365304,Sunoco,Sunoco,NORWELL,MA,US,42.167189,-70.888575
16,12448705,Sunoco,Sunoco,HIGHTSTOWN,NJ,US,40.272192,-74.53843
17,12449504,Sunoco,Sunoco,HARRISBURG,PA,US,40.323816,-76.790565
18,12459408,Sunoco,Sunoco,WAKEFIELD,MA,US,42.512002,-71.042082
19,12476802,Sunoco,Sunoco,NASHUA,NH,US,42.778509,-71.496396
20,12482608,Sunoco,Sunoco,NORTH EASTON,MA,US,42.023582,-71.119723
21,12527812,Sunoco,Sunoco,AMBLER,PA,US,40.212063,-75.18544
22,12550003,Sunoco,Sunoco,BELLINGHAM,MA,US,42.11401,-71.47202
23,12600311,Sunoco,Sunoco,VALLEY STREAM,NY,US,40.676765,-73.683406
24,12613603,Sunoco,Sunoco,WEST CALDWELL,NJ,US,40.851999,-74.294798
25,12850404,Sunoco,Sunoco,MONTGOMERY TOWNSHIP,NJ,US,40.39145,-74.65382
26,12895902,Sunoco,Sunoco,BENSALEM,PA,US,40.105216,-74.938789
27,12896708,Sunoco,Sunoco,NEWBURYPORT,MA,US,42.82019,-70.90882
28,12923904,Sunoco,Sunoco,FEASTERVILLE,PA,US,40.14614,-74.99443
29,12932009,Sunoco,Sunoco,FRAZER,PA,US,40.05218,-75.52695
30,12956909,Sunoco,Sunoco,TREVOSE,PA,US,40.156183,-74.971071
31,13003908,Sunoco,Sunoco,LAUREL SPRING,NJ,US,39.820811,-75.040849
32,13012011,Sunoco,Sunoco,HUNTINGDON VALLEY,PA,US,40.123428,-75.043558
33,13035110,Sunoco,Sunoco,NORWOOD,PA,US,39.88701,-75.3012
34,13040106,Sunoco,Sunoco,SMITHFIELD,RI,US,41.881923,-71.5405
35,13053408,Sunoco,Sunoco,GLEN BURNIE,MD,US,39.141498,-76.629348
36,13079908,Sunoco,Sunoco,HUNTINGTON,NY,US,40.876967,-73.422883
37,13330605,Sunoco,Sunoco,HARRISBURG,PA,US,40.279296,-76.815746
38,13407214,Sunoco,Sunoco,LINDENWOLD,NJ,US,39.804498,-75.024045
39,13454408,Sunoco,Sunoco,KENNETT SQUARE,PA,US,39.86399,-75.71655
40,13459306,Sunoco,Sunoco,NEW BEDFORD,MA,US,41.655875,-70.922766
41,13460103,Sunoco,Sunoco,NEWARK,NJ,US,40.7261,-74.15383
42,13554105,Sunoco,Sunoco,READING,PA,US,40.298735,-75.945933
43,13556609,Sunoco,Sunoco,OWINGS MILLS,MD,US,39.426618,-76.789311
44,13625903,Sunoco,Sunoco,UNIONTOWN,PA,US,39.905625,-79.738788
45,13629107,Sunoco,Sunoco,MYERSVILLE,MD,US,39.49924,-77.568
46,13680409,Sunoco,Sunoco,CHADDS FORD,PA,US,39.853125,-75.64078
47,13766106,Sunoco,Sunoco,FALLS CHURCH,VA,US,38.875492,-77.22243
48,13798406,Sunoco,Sunoco,DOYLESTOWN,PA,US,40.325982,-75.129872
49,13850309,Sunoco,Sunoco,PRINCETON,NJ,US,40.41878,-74.584614
50,13873507,Sunoco,Sunoco,PHILADELPHIA,PA,US,40.064271,-75.020828
51,13923806,Sunoco,Sunoco,STATEN ISLAND,NY,US,40.558823,-74.198192
52,13998008,Sunoco,Sunoco,HARRISBURG,PA,US,40.241884,-76.806885
53,14021002,Sunoco,Sunoco,TIMONIUM,MD,US,39.439326,-76.631331
54,14063210,Sunoco,Sunoco,ALIQUIPPA,PA,US,40.635499,-80.317934
55,14099615,Sunoco,Sunoco,BROOKLYN,NY,US,40.601284,-74.004866
56,14102808,Sunoco,Sunoco,EXTON,PA,US,40.025184,-75.645845
57,14107704,Sunoco,Sunoco,SPENCER,MA,US,0,0
58,14119203,Sunoco,Sunoco,NORTH EAST,MD,US,39.60874,-75.94802
59,14287702,Sunoco,Sunoco,CAMBRIDGE,MA,US,42.387408,-71.141967
60,14318006,Sunoco,Sunoco,GLEN COVE,NY,US,40.862651,-73.632274
61,14330503,Sunoco,Sunoco,BENSALEM,PA,US,40.121392,-74.961707
62,488820200,Sunoco,Sunoco,LEESVILLE,SC,US,33.915998,-81.512712
63,530457100,Sunoco,Sunoco,COLUMBIA,SC,US,33.90974,-81.20053
64,928630300,Sunoco,Sunoco,COLUMBIA,SC,US,34.064959,-81.219704
65,254281900,Sunoco,Sunoco,COLUMBIA,SC,US,34.0513155,-80.9455234
66,886229400,Sunoco,Sunoco,BEAUFORT,SC,US,32.407214,-80.7346742
67,813199700,Sunoco,Sunoco,IRMO,SC,US,34.142016,-81.235787
68,14550800,Sunoco,Sunoco,LEXINGTON,SC,US,0,0
69,151018900,Sunoco,Sunoco,LEXINGTON,SC,US,33.97885,-81.19903
70,305129900,Sunoco,Sunoco,COLUMBIA,SC,US,34.071916,-80.949296
71,906976600,Sunoco,Sunoco,COLUMBIA,SC,US,34.112936,-80.892014
72,567555800,Sunoco,Sunoco,PELION,SC,US,33.77771,-81.23881
73,14900503,Sunoco,Sunoco,BROCKTON,MA,US,42.09613,-71.009799
74,14902108,Sunoco,Sunoco,STATEN ISLAND,NY,US,40.56071,-74.16284
75,15161301,Sunoco,Sunoco,WOODCLIFF LAKE,NJ,US,41.03944,-74.074844
76,15416101,Sunoco,Sunoco,WESTMORELAND,NY,US,43.12511,-75.413878
77,15423703,Sunoco,Sunoco,SYRACUSE,NY,US,43.091253,-76.100256
78,15424502,Sunoco,Sunoco,CANASTOTA,NY,US,43.09601,-75.842394
79,15750302,Sunoco,Sunoco,YONKERS,NY,US,40.935302,-73.887567
80,16823701,Sunoco,Sunoco,PHILADELPHIA,PA,US,40.095647,-74.977006
81,16835100,Sunoco,Sunoco,ENGLEWOOD,OH,US,39.862009,-84.283885
82,17901001,Sunoco,Sunoco,SUMMIT,NJ,US,40.721892,-74.335863
83,18291502,Sunoco,Sunoco,WALTHAM,MA,US,0,0
84,15547302,Sunoco,Sunoco,EAST WEYMOUTH,MA,US,42.229577,-70.943684
85,435611900,Sunoco,Sunoco,BROOKLINE,NH,US,42.723213,-71.662166
86,443420500,Sunoco,Sunoco,SOMERS,NY,US,41.303,-73.698999
87,108073800,Sunoco,Sunoco,SOUTH PORTLAND,ME,US,43.6366,-70.332499
88,794564500,Sunoco,Sunoco,MILFORD,PA,US,41.340035,-74.840644
89,171120900,Sunoco,Sunoco,WESTBURY,NY,US,40.7562,-73.5817
90,352762900,Sunoco,Sunoco,LANCASTER,PA,US,40.081158,-76.2366763
91,175665900,Sunoco,Sunoco,WIND GAP,PA,US,40.836994,-75.2960595
92,803441500,Sunoco,Sunoco,STROUDSBURG,PA,US,40.99728,-75.3591213
93,921446100,Sunoco,Sunoco,BELLEVILLE,PA,US,40.604539,-77.725594
94,812145100,Sunoco,Sunoco,WATERVILLE,ME,US,44.52102,-69.66807
95,298000100,Sunoco,Sunoco,SHOEMAKERSVILLE,PA,US,40.513818,-75.966823
96,645789900,Sunoco,Sunoco,LAVELLE,PA,US,40.76084,-76.38265
97,120754700,Sunoco,Sunoco,RANSHAW,PA,US,40.78762,-76.52194
98,144309200,Sunoco,Sunoco,WEST LAWN,PA,US,40.327862,-75.987961
99,364646000,Sunoco,Sunoco,MANHEIM,PA,US,0,0
100,555488600,Sunoco,Sunoco,MECHANICVILLE,NY,US,42.90386,-73.68761
101,188897300,Sunoco,Sunoco,DARIEN,CT,US,41.09054,-73.45571
102,279762900,Sunoco,Sunoco,NORTH MADISON,CT,US,41.358672,-72.637881
103,689177400,Sunoco,Sunoco,WORCESTER,MA,US,42.26246,-71.79298
104,157860800,Sunoco,Sunoco,NORWALK,CT,US,41.12726,-73.38587
105,298794900,Sunoco,Sunoco,RAYNHAM,MA,US,41.904903,-71.059006
106,656567500,Sunoco,Sunoco,MIDDLEBORO,MA,US,41.884583,-70.918953
107,709679500,Sunoco,Sunoco,WARWICK,RI,US,41.72127,-71.48319
108,599909900,Sunoco,Sunoco,WARREN,RI,US,41.73377,-71.27374
109,239262900,Sunoco,Sunoco,FALL RIVER,MA,US,41.67695,-71.1806
110,267029700,Sunoco,Sunoco,HOLLIS,NH,US,42.742781,-71.590152
111,267031300,Sunoco,Sunoco,JAFFREY,NH,US,42.816791,-72.019473
112,267032100,Sunoco,Sunoco,CONTOOCOOK,NH,US,43.222374,-71.713005
113,267254100,Sunoco,Sunoco,NORWICH,NY,US,42.55255,-75.5259
114,267321800,Sunoco,Sunoco,SANFORD,ME,US,43.442603,-70.773939
115,267539500,Sunoco,Sunoco,NEWBURGH,NY,US,41.522585,-74.063648
116,267541100,Sunoco,Sunoco,GREENVILLE,NY,US,42.492901,-73.991601
117,267542900,Sunoco,Sunoco,CATSKILL,NY,US,42.243983,-73.886562
118,267544500,Sunoco,Sunoco,ATHENS,NY,US,42.291198,-73.853202
119,267545200,Sunoco,Sunoco,COXSACKIE,NY,US,42.393465,-73.82967
120,348525700,Sunoco,Sunoco,WALTHAM,MA,US,42.3733,-71.262854
121,939942900,Sunoco,Sunoco,ORLEANS,MA,US,41.786869,-69.98781
122,352305700,Sunoco,Sunoco,WOBURN,MA,US,42.50363,-71.13386
123,353078900,Sunoco,Sunoco,ILION,NY,US,43.022371,-75.051617
124,353136500,Sunoco,Sunoco,LEWISTON,ME,US,44.076799,-70.186797
125,947648200,Sunoco,Sunoco,MAHOPAC,NY,US,41.37248,-73.73379
126,354710600,Sunoco,Sunoco,FORT EDWARD,NY,US,43.251935,-73.668798
127,354717100,Sunoco,Sunoco,HOPEWELL JUNCTION,NY,US,41.60408,-73.72909
128,354790800,Sunoco,Sunoco,FITCHBURG,MA,US,42.568204,-71.816138
129,964418800,Sunoco,Sunoco,HARTFORD,CT,US,41.737454,-72.671359
130,965091200,Sunoco,Sunoco,PROVIDENCE,RI,US,41.847475,-71.395596
131,245759600,Sunoco,Sunoco,SOUTHINGTON,CT,US,41.61525,-72.89907
132,332896000,Sunoco,Sunoco,KULPMONT,PA,US,40.79462,-76.46698
133,312517600,Sunoco,Sunoco,LEWISTOWN,PA,US,40.61567,-77.56827
134,736116500,Sunoco,Sunoco,CUMBERLAND CENTER,ME,US,43.797137,-70.30668
135,335419800,Sunoco,Sunoco,KENNEBUNKPORT,ME,US,43.424435,-70.514427
136,308862200,Sunoco,Sunoco,WEST GREENWICH,RI,US,41.653386,-71.604853
137,522863000,Sunoco,Sunoco,ESSEX,CT,US,41.35164,-72.40539
138,770670800,Sunoco,Sunoco,CHESHIRE,CT,US,41.48326,-72.90589
139,873535900,Sunoco,Sunoco,LEVITTOWN,NY,US,40.70887,-73.50234
140,388384000,Sunoco,Sunoco,MANHASSET,NY,US,40.7996,-73.70083
141,965780000,Sunoco,Sunoco,BABYLON,NY,US,40.74218,-73.30785
142,49612500,Sunoco,Sunoco,FLUSHING,NY,US,40.75945,-73.800066
143,120964200,Sunoco,Sunoco,GREAT NECK,NY,US,40.782264,-73.733861
144,899271100,Sunoco,Sunoco,WAPPINGERS FALLS,NY,US,41.591517,-73.909015
145,899055800,Sunoco,Sunoco,WYANDANCH,NY,US,40.755049,-73.360254
146,287954200,Sunoco,Sunoco,SALEM,NH,US,42.781743,-71.229616
147,302786900,Sunoco,Sunoco,BOALSBURG,PA,US,40.777422,-77.790636
148,975167800,Sunoco,Sunoco,STONY BROOK,NY,US,40.922983,-73.127065
149,890138100,Sunoco,Sunoco,OTEGO,NY,US,42.38241,-75.1814
150,833364300,Sunoco,Sunoco,FULTONVILLE,NY,US,42.948854,-74.360484
151,59545400,Sunoco,Sunoco,HUGHESVILLE,PA,US,41.2461,-76.71963
152,822014700,Sunoco,Sunoco,SCHENECTADY,NY,US,42.77322,-73.82519
153,892966300,Sunoco,Sunoco,DAYVILLE,CT,US,41.84597,-71.8876
154,242898500,Sunoco,Sunoco,ENFIELD,CT,US,42.00752,-72.59281
155,373378900,Sunoco,Sunoco,WELLSVILLE,PA,US,40.06483,-76.91665
156,955585500,Sunoco,Sunoco,WARWICK,RI,US,41.702165,-71.385825
157,195380100,Sunoco,Sunoco,WEST WARWICK,RI,US,41.683346,-71.500844
158,930729900,Sunoco,Sunoco,SAUGERTIES,NY,US,42.080775,-73.959732
159,302369400,Sunoco,Sunoco,GUILDERLAND,NY,US,42.71414,-73.93157
160,976709600,Sunoco,Sunoco,NEWTOWN,CT,US,41.396717,-73.293559
161,56283500,Sunoco,Sunoco,NEW HAVEN,CT,US,41.337631,-72.977005
162,73773400,Sunoco,Sunoco,HUDSON,NY,US,42.2578,-73.76617
163,131070500,Sunoco,Sunoco,BATH,PA,US,40.77746,-75.37044
164,329531800,Sunoco,Sunoco,BANGOR,PA,US,40.869379,-75.207307
165,472910900,Sunoco,Sunoco,SAYLORSBURG,PA,US,40.895823,-75.324314
166,630678100,Sunoco,Sunoco,MOUNT BETHEL,PA,US,40.90678,-75.109862
167,248037400,Sunoco,Sunoco,SOUTHAMPTON,MA,US,42.22354,-72.73161
