SalesTransactionID,SaleDate,SaleTime,LocationID,ShipTo,SaleAmount,SaleTaxAmount,TotalSaleAmount,Dispensed_Fuel_Additives_Quantity,Dispensed_Fuel_Additives_Amount,Merchandise_Quantity,Merchandise_Amount
3187860947,4/21/2021,22:21:00,11771,587209800,5.42,0.13,5.42,0,0,2,5.29
3187861928,4/21/2021,13:19:00,9380,66065400,5.35,0.35,5.35,0,0,2,5
3187862075,4/21/2021,16:24:00,14391,896033800,5.64,0.16,5.64,0,0,2,5.48
3187862103,4/22/2021,01:25:00,11425,488746900,5.09,0.21,5.09,0,0,2,4.88
3187862163,4/22/2021,08:03:00,11425,488746900,5.14,0.26,5.14,0,0,2,4.88
3187862202,4/21/2021,15:09:00,14391,896033800,5.73,0.44,5.73,0,0,2,5.29
3187863017,4/21/2021,16:04:00,14391,896033800,5.72,0.44,5.72,0,0,2,5.28
3187863330,4/21/2021,12:13:00,14391,896033800,5.53,0.25,5.53,0,0,2,5.28
3187863474,4/21/2021,16:49:00,14391,896033800,5.41,0.41,5.41,0,0,2,5
3187863567,4/21/2021,14:06:00,14391,896033800,5.61,0.43,5.61,0,0,2,5.18
3187863723,4/21/2021,15:24:00,14391,896033800,5.73,0.44,5.73,0,0,2,5.29
3187863811,4/21/2021,15:56:00,14111,855106100,5.16,0.08,5.16,0,0,2,5.08
3187864712,4/21/2021,18:34:00,14111,855106100,5.16,0.08,5.16,0,0,2,5.08
3187864869,4/21/2021,17:12:00,14111,855106100,5.26,0.28,5.26,0,0,2,4.98
3187864922,4/21/2021,20:56:00,14111,855106100,5.66,0.08,5.66,0,0,2,5.58
3187864944,4/21/2021,16:31:00,14111,855106100,5.16,0.08,5.16,0,0,2,5.08
3187864953,4/21/2021,14:28:00,14111,855106100,5.05,0.37,5.05,0,0,2,4.68
3187899311,4/21/2021,23:29:00,14445,925965600,5.72,0.44,5.72,0,0,2,5.28
3187899471,4/21/2021,14:52:00,14445,925965600,5.28,0.4,5.28,0,0,2,4.88
3187899472,4/21/2021,17:27:00,14445,925965600,5.39,0.41,5.39,0,0,2,4.98
3187899683,4/21/2021,15:17:00,14445,925965600,5.73,0.44,5.73,0,0,2,5.29
3187900147,4/21/2021,16:22:00,11184,378018600,5.21,0.23,5.21,0,0,2,4.98
3187900447,4/21/2021,20:21:00,14445,925965600,5.51,0.23,5.51,0,0,2,5.28
3187900869,4/21/2021,13:50:00,11184,378018600,5.39,0.41,5.39,0,0,2,4.98
3187901044,4/21/2021,20:06:00,11184,378018600,5.17,0.39,5.17,0,0,2,4.78
3187901155,4/21/2021,17:21:00,11184,378018600,5.47,0.19,5.47,0,0,2,5.28
3187901913,4/21/2021,23:27:00,9886,204989800,5.38,0.3,5.38,0,0,2,5.08
3187902124,4/21/2021,15:32:00,9886,204989800,5.16,0.18,5.16,0,0,2,4.98
3187902542,4/21/2021,20:18:00,15894,666381900,5.39,0.41,5.39,0,0,2,4.98
3187902609,4/21/2021,15:33:00,15894,666381900,5.61,0.43,5.61,0,0,2,5.18
3187903157,4/21/2021,13:14:00,9886,204989800,5.73,0.25,5.73,0,0,2,5.48
3187903316,4/21/2021,13:11:00,15894,666381900,5.5,0.42,5.5,0,0,2,5.08
3187903861,4/21/2021,18:56:00,9218,49452600,5.41,0.41,5.41,0,0,2,5
3187904059,4/21/2021,16:40:00,9218,49452600,5.17,0.39,5.17,0,0,2,4.78
3187904822,4/21/2021,16:10:00,11933,612487900,5.23,0.25,5.23,0,0,2,4.98
3187967178,4/21/2021,12:39:00,11720,591405600,5.61,0.43,5.61,0,0,2,5.18
3187967179,4/21/2021,22:27:00,11720,591405600,5.07,0.39,5.07,0,0,2,4.68
3187967216,4/21/2021,13:29:00,11720,591405600,5.73,0.44,5.73,0,0,2,5.29
3187967217,4/21/2021,23:39:00,11720,591405600,5.23,0.25,5.23,0,0,2,4.98
3187967224,4/21/2021,20:52:00,11720,591405600,5.73,0.44,5.73,0,0,2,5.29
3187967267,4/21/2021,14:51:00,9487,56525900,5.46,0.28,5.46,0,0,2,5.18
3187967291,4/21/2021,14:21:00,13784,773838800,5.4,0.22,5.4,0,0,2,5.18
3187967300,4/21/2021,15:09:00,13713,911651800,5.69,0.21,5.69,0,0,2,5.48
3187967331,4/22/2021,02:13:00,12850,791602600,5.07,0.19,5.07,0,0,2,4.88
3187967364,4/21/2021,14:22:00,13216,667234900,5.04,0.16,5.04,0,0,2,4.88
3187967367,4/21/2021,16:16:00,13216,667234900,5.7,0.32,5.7,0,0,2,5.38
3187967432,4/22/2021,01:20:00,12017,501837900,5.48,0.2,5.48,0,0,2,5.28
3187967435,4/21/2021,23:53:00,12017,501837900,5.07,0.29,5.07,0,0,2,4.78
3187967557,4/21/2021,19:30:00,9231,49607500,5.72,0.14,5.72,0,0,2,5.58
3187967560,4/21/2021,15:31:00,9231,49607500,5.31,0.13,5.31,0,0,2,5.18
3187967561,4/21/2021,13:13:00,9231,49607500,5.51,0.13,5.51,0,0,2,5.38
3187967653,4/21/2021,16:40:00,12320,706240900,5.44,0.26,5.44,0,0,2,5.18
3187967679,4/21/2021,20:21:00,12320,706240900,5.39,0.21,5.39,0,0,2,5.18
3187967681,4/21/2021,19:00:00,12320,706240900,5.26,0.18,5.26,0,0,2,5.08
3187967682,4/21/2021,12:41:00,12320,706240900,5.01,0.23,5.01,0,0,2,4.78
