Site_ID,Grade_Description,Date,Price,Fuel Cost
10808,Midgrade Gas,1/1/2019,2.129,1.409889251
10808,Premium Gas,1/1/2019,2.319,1.534256839
10808,Unleaded Gas,1/1/2019,1.769,1.3237
10808,Midgrade Gas,1/2/2019,2.119,1.434353061
10808,Premium Gas,1/2/2019,2.309,1.535803129
10808,Unleaded Gas,1/2/2019,1.759,1.3256
10808,Midgrade Gas,1/3/2019,2.109,1.454955269
10808,Premium Gas,1/3/2019,2.299,1.553483876
10808,Unleaded Gas,1/3/2019,1.749,1.3495
10808,Midgrade Gas,1/4/2019,2.109,1.453068571
10808,Premium Gas,1/4/2019,2.299,1.552686536
10808,Unleaded Gas,1/4/2019,1.749,1.3478
10808,Midgrade Gas,1/5/2019,2.109,1.462782963
10808,Premium Gas,1/5/2019,2.299,1.55120155
10808,Unleaded Gas,1/5/2019,1.749,1.3478
10808,Midgrade Gas,1/6/2019,2.109,1.425495949
10808,Premium Gas,1/6/2019,2.299,1.564167253
10808,Unleaded Gas,1/6/2019,1.749,1.3478
10808,Midgrade Gas,1/7/2019,2.099,1.43541833
10808,Premium Gas,1/7/2019,2.289,1.535297452
10808,Unleaded Gas,1/7/2019,1.739,1.3408
10808,Midgrade Gas,1/8/2019,2.099,1.484676112
10808,Premium Gas,1/8/2019,2.289,1.537695423
10808,Unleaded Gas,1/8/2019,1.739,1.3626
10808,Midgrade Gas,1/9/2019,2.099,1.50478396
10808,Premium Gas,1/9/2019,2.289,1.615068803
10808,Unleaded Gas,1/9/2019,1.739,1.4254
10808,Midgrade Gas,1/10/2019,2.099,1.508636757
10808,Premium Gas,1/10/2019,2.289,1.611578631
10808,Unleaded Gas,1/10/2019,1.739,1.4307
10808,Midgrade Gas,1/11/2019,2.099,1.478013809
10808,Premium Gas,1/11/2019,2.289,1.57148741
10808,Unleaded Gas,1/11/2019,1.739,1.4007
10808,Midgrade Gas,1/12/2019,2.099,1.474838728
10808,Premium Gas,1/12/2019,2.289,1.608657553
10808,Unleaded Gas,1/12/2019,1.739,1.4007
10808,Midgrade Gas,1/13/2019,2.099,1.5073727
10808,Premium Gas,1/13/2019,2.289,1.616661505
10808,Unleaded Gas,1/13/2019,1.739,1.4007
10808,Midgrade Gas,1/14/2019,2.119,1.43975875
10808,Premium Gas,1/14/2019,2.309,1.554818534
10808,Unleaded Gas,1/14/2019,1.759,1.3638
10808,Midgrade Gas,1/15/2019,2.139,1.527788023
10808,Premium Gas,1/15/2019,2.329,1.608753289
10808,Unleaded Gas,1/15/2019,1.779,1.4114
10808,Midgrade Gas,1/16/2019,2.139,1.525600875
10808,Premium Gas,1/16/2019,2.329,1.594235741
10808,Unleaded Gas,1/16/2019,1.779,1.4159
10808,Midgrade Gas,1/17/2019,2.159,1.526840407
10808,Premium Gas,1/17/2019,2.349,1.655877999
10808,Unleaded Gas,1/17/2019,1.799,1.43
10808,Midgrade Gas,1/18/2019,2.159,1.580825954
10808,Premium Gas,1/18/2019,2.349,1.658336461
10808,Unleaded Gas,1/18/2019,1.799,1.4528
10808,Midgrade Gas,1/19/2019,2.159,1.573165667
10808,Premium Gas,1/19/2019,2.349,1.674192765
10808,Unleaded Gas,1/19/2019,1.799,1.4528
10808,Midgrade Gas,1/20/2019,2.159,1.561180932
10808,Premium Gas,1/20/2019,2.349,1.668846033
10808,Unleaded Gas,1/20/2019,1.799,1.4528
10808,Midgrade Gas,1/21/2019,2.159,1.551011461
10808,Premium Gas,1/21/2019,2.349,1.670957688
10808,Unleaded Gas,1/21/2019,1.799,1.4528
10808,Midgrade Gas,1/22/2019,2.159,1.51584447
10808,Premium Gas,1/22/2019,2.349,1.592057878
10808,Unleaded Gas,1/22/2019,1.799,1.4015
10808,Midgrade Gas,1/23/2019,2.159,1.46594202
10808,Premium Gas,1/23/2019,2.349,1.587185115
10808,Unleaded Gas,1/23/2019,1.799,1.3857
10808,Midgrade Gas,1/24/2019,2.159,1.501574879
10808,Premium Gas,1/24/2019,2.349,1.570862687
10808,Unleaded Gas,1/24/2019,1.799,1.3876
10808,Midgrade Gas,1/25/2019,2.159,1.514488946
10808,Premium Gas,1/25/2019,2.349,1.612482164
10808,Unleaded Gas,1/25/2019,1.799,1.3894
10808,Midgrade Gas,1/26/2019,2.159,1.494123134
10808,Premium Gas,1/26/2019,2.349,1.615192027
10808,Unleaded Gas,1/26/2019,1.799,1.3894
10808,Midgrade Gas,1/27/2019,2.159,1.484181785
10808,Premium Gas,1/27/2019,2.349,1.562338148
10808,Unleaded Gas,1/27/2019,1.799,1.3894
10808,Midgrade Gas,1/28/2019,2.139,1.432752067
10808,Premium Gas,1/28/2019,2.329,1.523284804
10808,Unleaded Gas,1/28/2019,1.779,1.3331
10808,Midgrade Gas,1/29/2019,2.119,1.461736841
10808,Premium Gas,1/29/2019,2.309,1.566746116
10808,Unleaded Gas,1/29/2019,1.759,1.3509
10808,Midgrade Gas,1/30/2019,2.119,1.471642176
10808,Premium Gas,1/30/2019,2.309,1.563054853
10808,Unleaded Gas,1/30/2019,1.759,1.3823
10808,Midgrade Gas,1/31/2019,2.119,1.444012096
10808,Premium Gas,1/31/2019,2.309,1.549939218
10808,Unleaded Gas,1/31/2019,1.759,1.3627
10808,Midgrade Gas,2/1/2019,2.159,1.561956215
10808,Premium Gas,2/1/2019,2.349,1.608110842
10808,Unleaded Gas,2/1/2019,1.799,1.4369
10808,Midgrade Gas,2/2/2019,2.159,1.533446123
10808,Premium Gas,2/2/2019,2.349,1.61917579
10808,Unleaded Gas,2/2/2019,1.799,1.4369
