Site_ID,Grade_Description,Date,Price,Profit,Volume,Competitor_Price,Fuel_Cost
10808,Premium Gas,1/1/2019,2.319,7.6,49.3,1.7990000000000002,1.534256839
10808,Unleaded Gas,1/1/2019,1.7690000000000001,9.73,1092.01,1.825666667,1.3237
10838,Midgrade Gas,1/1/2019,2.039,18.81,105.78,2.184,1.4098892509999998
10838,Premium Gas,1/1/2019,2.339,25.11,76.57,2.4965,1.534256839
10838,Unleaded Gas,1/1/2019,1.739,-18.27,255.6,1.784,1.3237
10808,Premium Gas,1/2/2019,2.309,14.78,83.84,1.7990000000000002,1.535803129
10808,Unleaded Gas,1/2/2019,1.7590000000000001,11.13,1955.47,1.819,1.3256
10838,Midgrade Gas,1/2/2019,2.039,18.39,103.41,2.1815,1.434353061
10838,Premium Gas,1/2/2019,2.339,22.36,68.19,2.4915,1.535803129
10838,Unleaded Gas,1/2/2019,1.739,-33.6,409.14,1.7790000000000001,1.3256
10808,Premium Gas,1/3/2019,2.299,7.15,56.94,1.7990000000000002,1.553483876
10808,Unleaded Gas,1/3/2019,1.749,-35.83,1123.79,1.819,1.3495
10818,Midgrade Gas,1/3/2019,2.5989999999999998,0.0,0.0,2.3656666669999997,1.454955269
10838,Midgrade Gas,1/3/2019,2.039,14.28,79.2,2.1790000000000003,1.454955269
10838,Premium Gas,1/3/2019,2.339,32.81,90.45,2.489,1.553483876
10838,Unleaded Gas,1/3/2019,1.739,-57.39,601.93,1.7615,1.3495
10808,Premium Gas,1/4/2019,2.299,8.08,49.08,1.7990000000000002,1.552686536
10808,Unleaded Gas,1/4/2019,1.749,-65.66,1847.51,1.819,1.3478
10838,Midgrade Gas,1/4/2019,2.039,7.27,40.26,2.1765,1.453068571
10838,Premium Gas,1/4/2019,2.339,78.73,217.06,2.4865,1.552686536
10838,Unleaded Gas,1/4/2019,1.739,-56.6,626.66,1.7590000000000001,1.3478
10808,Premium Gas,1/5/2019,2.299,12.28,74.67,1.7990000000000002,1.55120155
10808,Unleaded Gas,1/5/2019,1.749,-98.64,1442.89,1.819,1.3478
10838,Midgrade Gas,1/5/2019,2.039,4.34,24.09,2.1765,1.4627829630000002
10838,Premium Gas,1/5/2019,2.339,37.45,103.28,2.4865,1.55120155
10838,Unleaded Gas,1/5/2019,1.739,-52.59,572.17,1.7590000000000001,1.3478
10808,Unleaded Gas,1/6/2019,1.749,-60.06,1096.7,1.819,1.3478
10838,Midgrade Gas,1/6/2019,2.039,3.7,20.52,2.1765,1.425495949
10838,Premium Gas,1/6/2019,2.339,21.94,60.51,2.4865,1.5641672530000001
10838,Unleaded Gas,1/6/2019,1.739,-39.22,454.82,1.7590000000000001,1.3478
10808,Unleaded Gas,1/7/2019,1.739,-128.22,1803.8,1.805666667,1.3408
10838,Midgrade Gas,1/7/2019,2.199,5.75,19.67,2.1765,1.43541833
