Site_ID,Grade_Description,Date,Profit
10808,Unleaded Gas,2019-01-01,9.73
10808,Unleaded Gas,2019-01-02,11.13
10808,Unleaded Gas,2019-01-03,-35.83
10808,Unleaded Gas,2019-01-04,-65.66
10808,Unleaded Gas,2019-01-05,-98.64
10808,Unleaded Gas,2019-01-06,-60.06
10808,Unleaded Gas,2019-01-07,-128.22
10808,Unleaded Gas,2019-01-08,-110.68
10808,Unleaded Gas,2019-01-09,-82.28
10808,Unleaded Gas,2019-01-10,-111.31
10808,Unleaded Gas,2019-01-11,-138.16
10808,Unleaded Gas,2019-01-12,-96.56
10808,Unleaded Gas,2019-01-13,-80.77
10808,Unleaded Gas,2019-01-14,-89.13
10808,Unleaded Gas,2019-01-15,-48.92
10808,Unleaded Gas,2019-01-16,-60.57
10808,Unleaded Gas,2019-01-17,-52.42
10808,Unleaded Gas,2019-01-18,-38.85
10808,Unleaded Gas,2019-01-19,-35.99
10808,Unleaded Gas,2019-01-20,-40.98
10808,Unleaded Gas,2019-01-21,-67.48
10808,Unleaded Gas,2019-01-22,-63.01
10808,Unleaded Gas,2019-01-23,-58.58
10808,Unleaded Gas,2019-01-24,-69.22
10808,Unleaded Gas,2019-01-25,-87.24
10808,Unleaded Gas,2019-01-26,-56.08
10808,Unleaded Gas,2019-01-27,-28.13
10808,Unleaded Gas,2019-01-28,-40.94
10808,Unleaded Gas,2019-01-29,-123.36
10808,Unleaded Gas,2019-01-30,-123.93
10808,Unleaded Gas,2019-01-31,-115.17
10808,Unleaded Gas,2019-02-01,-70.93
10808,Unleaded Gas,2019-02-02,-58.82
10808,Unleaded Gas,2019-02-03,-31.18
10808,Unleaded Gas,2019-02-04,-40.19
10808,Unleaded Gas,2019-02-05,-46.97
10808,Unleaded Gas,2019-02-06,-22.1
10808,Unleaded Gas,2019-02-07,60.52
10808,Unleaded Gas,2019-02-08,66.07
10808,Unleaded Gas,2019-02-09,44.56
10808,Unleaded Gas,2019-02-10,43.16
10808,Unleaded Gas,2019-02-11,59.32
10808,Unleaded Gas,2019-02-12,-2.5
10808,Unleaded Gas,2019-02-13,54.97
10808,Unleaded Gas,2019-02-14,114.49
10808,Unleaded Gas,2019-02-15,170.08
10808,Unleaded Gas,2019-02-16,127.56
10808,Unleaded Gas,2019-02-17,-13.45
10808,Unleaded Gas,2019-02-18,-8.58
10808,Unleaded Gas,2019-02-19,16.69
10808,Unleaded Gas,2019-02-20,22.55
10808,Unleaded Gas,2019-02-21,11.56
10808,Unleaded Gas,2019-02-22,32.23
10808,Unleaded Gas,2019-02-23,49.42
10808,Unleaded Gas,2019-02-24,39.42
10808,Unleaded Gas,2019-02-25,55.23
10808,Unleaded Gas,2019-02-26,-33.31
10808,Unleaded Gas,2019-02-27,-37.14
10808,Unleaded Gas,2019-02-28,-25.45
10808,Unleaded Gas,2019-03-01,-0.04
10808,Unleaded Gas,2019-03-02,0.0
10808,Unleaded Gas,2019-03-03,0.0
